42.31,81.3849888,2.0
42.32,81.31400281,2.0
42.33,70.53404045,2.0
42.34,63.52342772,4.0
42.35,247.33586,4.0
42.36,50.42749,2.0
42.37,180.0,1.0
42.38,217.78932226,4.0
42.39,55.825,1.0
42.4,47.27,2.0
42.41,428.58034038,3.0
42.42,1.51710563,1.0
42.43,236.18166555,3.0
42.44,388.4,1.0
42.45,347.83325494,2.0
42.47,500.0,1.0
42.48,86.8,1.0
42.49,87.78367044,1.0
42.5,0.1,1.0
42.53,1049.8,1.0
42.54,148.122,1.0
42.57,4009.14040453,2.0
42.65,20.0,1.0
42.7,0.1,1.0
42.75,295.5,1.0
42.78,778.7,1.0
42.8,0.5,1.0
42.85,0.2,1.0
42.87,0.6,1.0
42.9,0.5,1.0
42.95,0.1,1.0
42.97,73.0,1.0
43.0,69.2948669,5.0
43.01,231.10885842,1.0
43.02,353.662,1.0
43.1,0.5,1.0
43.15,100.0,1.0
43.2,0.5,1.0
43.21,399.4,1.0
43.23,64.68675548,1.0
43.24,1.17484858,1.0
43.26,0.2,1.0
43.27,17.913,2.0
43.29,719.96,1.0
43.31,1.01,2.0
43.33,1.21,2.0
43.35,5.1128,2.0
43.36,25.199012,1.0
43.4,9.07011256,1.0
43.41,0.75,2.0
