42.3,9.73525949,2.0
42.29,71.82481499,2.0
42.28,236.78337281,3.0
42.27,122.36595955,4.0
42.26,181.61116,3.0
42.25,1066.88583887,5.0
42.24,22.5,1.0
42.23,358.12253546,3.0
42.22,324.0,1.0
42.21,58.20279774,2.0
42.2,171.43630119,3.0
42.17,69.77306365,1.0
42.15,1759.04068802,2.0
42.13,1049.8,1.0
42.12,100.8239019,1.0
42.11,8.07395954,1.0
42.1,87.21632956,1.0
42.05,2.17484858,2.0
42.04,104.65959547,1.0
42.0,4190.593,7.0
41.95,0.5,1.0
41.93,0.3,1.0
41.92,0.1,1.0
41.89,0.1,1.0
41.86,1948.7,1.0
41.84,0.5,1.0
41.79,338.133,1.0
41.75,0.2407,1.0
41.73,0.5,1.0
41.72,39.52122,1.0
41.71,778.7,1.0
41.7,1.0,1.0
41.62,0.5,1.0
41.6,62.64760847,1.0
41.52,391.88138,3.0
41.51,0.5,1.0
41.5,232.52435179,4.0
41.47,1.17484858,1.0
41.44,10.0,1.0
41.43,26.52567,2.0
41.4,1.5,2.0
41.3,216.43590583,2.0
41.29,0.5,1.0
41.25,817.2122596,5.0
41.23,1.70000323,2.0
41.22,97.14688,2.0
41.19,2400.0,1.0
41.18,0.5,1.0
41.17,1.6,2.0
41.16,389.5,1.0
